country,city,aqi,aqi_category,co_aqi,co_aqi_category,ozone_aqi,ozone_aqi_category,no2_aqi,no2_aqi_category,pm25_aqi,pm2.5_aqi_category
United States of America,Katy,27,good,0,good,26,good,0,good,27,good
Turkey,Kavakli,62,moderate,1,good,40,good,1,good,62,moderate
Russian Federation,Kazan,43,good,1,good,34,good,3,good,43,good
Indonesia,Kendari,56,moderate,1,good,18,good,0,good,56,moderate
United States of America,Kennewick,37,good,1,good,28,good,2,good,37,good
Germany,Ketsch,65,moderate,1,good,60,moderate,0,good,65,moderate
Iran (Islamic Republic of),Alvand,46,good,1,good,46,good,0,good,30,good
United States of America,Americus,57,moderate,2,good,23,good,5,good,57,moderate
India,Amli,105,unhealthy for sensitive groups,0,good,25,good,0,good,105,unhealthy for sensitive groups
United States of America,Ammon,49,good,1,good,14,good,5,good,49,good
Thailand,Amnat Charoen,46,good,1,good,27,good,0,good,46,good
Iran (Islamic Republic of),Amol,53,moderate,1,good,41,good,0,good,53,moderate
India,Anaimalai,57,moderate,1,good,23,good,0,good,57,moderate
United States of America,Anchorage,69,moderate,1,good,26,good,3,good,69,moderate
India,Anjangaon,114,unhealthy for sensitive groups,1,good,38,good,0,good,114,unhealthy for sensitive groups
Brazil,Araguari,40,good,1,good,5,good,1,good,40,good
Papua New Guinea,Arawa,50,good,0,good,12,good,0,good,50,good
United States of America,Ardmore,45,good,1,good,35,good,2,good,45,good
Philippines,Abucay,47,good,1,good,27,good,1,good,47,good
Equatorial Guinea,Aconibe,52,moderate,1,good,20,good,0,good,52,moderate
Philippines,Aguisan,50,good,1,good,17,good,0,good,50,good
Iran (Islamic Republic of),Ahar,50,good,1,good,39,good,0,good,50,good
Russian Federation,Akhtubinsk,38,good,1,good,38,good,0,good,3,good
Turkey,Alasehir,82,moderate,1,good,44,good,0,good,82,moderate
France,Albi,58,moderate,1,good,31,good,2,good,58,moderate
Spain,Alcazar De San Juan,51,moderate,1,good,24,good,2,good,51,moderate
Russian Federation,Aleksandriyskaya,57,moderate,1,good,37,good,1,good,57,moderate
Russian Federation,Aleksandrov,56,moderate,1,good,21,good,6,good,56,moderate
Greece,Alexandroupoli,41,good,1,good,41,good,0,good,41,good
Spain,Algemesi,50,good,1,good,27,good,1,good,50,good
Spain,Alhaurin El Grande,32,good,1,good,32,good,4,good,30,good
India,Alipur,174,unhealthy,5,good,167,unhealthy,4,good,174,unhealthy
Pakistan,Shahdadkot,158,unhealthy,1,good,57,moderate,1,good,158,unhealthy
Germany,Schluchtern,66,moderate,1,good,38,good,4,good,66,moderate
Brazil,Schroeder,56,moderate,1,good,12,good,4,good,56,moderate
Germany,Schuttorf,53,moderate,1,good,19,good,8,good,53,moderate
Germany,Schwaigern,66,moderate,1,good,37,good,2,good,66,moderate
Austria,Schwaz,57,moderate,1,good,23,good,2,good,57,moderate
Japan,Sennan,30,good,1,good,30,good,2,good,22,good
El Salvador,Sensuntepeque,104,unhealthy for sensitive groups,3,good,0,good,13,good,104,unhealthy for sensitive groups
Russian Federation,Severo Zadonsk,35,good,1,good,35,good,0,good,33,good
Iran (Islamic Republic of),Shahr E Babak,84,moderate,0,good,44,good,0,good,84,moderate
Russian Federation,Shakhunya,57,moderate,1,good,31,good,1,good,57,moderate
China,Shanting,170,unhealthy,4,good,170,unhealthy,5,good,165,unhealthy
Japan,Omama,44,good,1,good,44,good,1,good,31,good
South Africa,Orkney,182,unhealthy,10,good,16,good,14,good,182,unhealthy
Nigeria,Oshogbo,134,unhealthy for sensitive groups,4,good,23,good,3,good,134,unhealthy for sensitive groups
Belgium,Oud Heverlee,45,good,1,good,26,good,4,good,45,good
United States of America,Overlea,33,good,1,good,31,good,7,good,33,good
Poland,Ozorkow,65,moderate,1,good,27,good,3,good,65,moderate
Portugal,Paco De Arcos,34,good,0,good,32,good,4,good,34,good
Panama,Pacora,134,unhealthy for sensitive groups,4,good,11,good,13,good,134,unhealthy for sensitive groups
United States of America,Palm Bay,51,moderate,1,good,25,good,7,good,51,moderate
United States of America,Palos Verdes Estates,93,moderate,3,good,13,good,39,good,93,moderate
Guatemala,Panajachel,82,moderate,2,good,13,good,9,good,82,moderate
France,Pantin,61,moderate,1,good,19,good,7,good,61,moderate
Brazil,Paraisopolis,58,moderate,1,good,9,good,4,good,58,moderate
Brazil,Paranapanema,31,good,1,good,14,good,1,good,31,good
Uzbekistan,Parkent,91,moderate,1,good,63,moderate,1,good,91,moderate
Iran (Islamic Republic of),Parsabad,46,good,1,good,36,good,0,good,46,good
United States of America,Parsons,87,moderate,1,good,27,good,3,good,87,moderate
Panama,Pedregal,55,moderate,1,good,19,good,3,good,55,moderate
United States of America,Perth Amboy,58,moderate,2,good,18,good,17,good,58,moderate
United States of America,Petersburg,42,good,1,good,41,good,2,good,42,good
Thailand,Phayao,34,good,0,good,26,good,0,good,34,good
Thailand,Phon Thong,47,good,0,good,30,good,0,good,47,good
Colombia,Piedecuesta,35,good,1,good,9,good,3,good,35,good
Mexico,Pijijiapan,68,moderate,1,good,18,good,1,good,68,moderate
Bangladesh,Pirojpur,138,unhealthy for sensitive groups,3,good,47,good,3,good,138,unhealthy for sensitive groups
Colombia,Pitalito,55,moderate,2,good,1,good,2,good,55,moderate
Brazil,Pitanga,36,good,1,good,12,good,0,good,36,good
Brazil,Planaltina,70,moderate,1,good,6,good,5,good,70,moderate
United States of America,Plant City,83,moderate,2,good,5,good,23,good,83,moderate
Viet Nam,Play Cu,39,good,1,good,21,good,0,good,39,good
Indonesia,Polewali,30,good,1,good,16,good,0,good,30,good
France,Pont A Mousson,65,moderate,1,good,23,good,3,good,65,moderate
United States of America,Northglenn,78,moderate,2,good,4,good,16,good,78,moderate
Italy,Nova Milanese,104,unhealthy for sensitive groups,1,good,34,good,5,good,104,unhealthy for sensitive groups
Bosnia and Herzegovina,Novi Travnik,47,good,1,good,33,good,0,good,47,good
Russian Federation,Novocheboksarsk,51,moderate,1,good,31,good,1,good,51,moderate
Russian Federation,Novosilikatnyy,48,good,1,good,45,good,1,good,48,good
Russian Federation,Novotitarovskaya,37,good,1,good,35,good,1,good,37,good
Poland,Nowy Sacz,95,moderate,1,good,33,good,1,good,95,moderate
Poland,Oborniki,35,good,0,good,31,good,1,good,35,good
Turkey,Odemis,45,good,1,good,39,good,1,good,45,good
United States of America,Odessa,66,moderate,1,good,30,good,1,good,66,moderate
India,Odlabari,50,good,1,good,39,good,0,good,50,good
India,Ojhar,127,unhealthy for sensitive groups,0,good,27,good,0,good,127,unhealthy for sensitive groups
Russian Federation,Okulovka,52,moderate,1,good,36,good,0,good,52,moderate
Latvia,Olaine,37,good,1,good,31,good,0,good,37,good
Italy,Olgiate Olona,105,unhealthy for sensitive groups,1,good,37,good,4,good,105,unhealthy for sensitive groups
South Africa,Giyani,45,good,1,good,23,good,0,good,45,good
Ethiopia,Giyon,86,moderate,1,good,24,good,0,good,86,moderate
United States of America,Glen Avon,91,moderate,3,good,8,good,25,good,91,moderate
United States of America,Glen Cove,71,moderate,2,good,13,good,24,good,71,moderate
United States of America,Glenview,62,moderate,2,good,24,good,19,good,62,moderate
United States of America,Gloucester,30,good,1,good,27,good,5,good,30,good
India,Gobardanga,177,unhealthy,6,good,89,moderate,7,good,177,unhealthy
Brazil,Goiania,93,moderate,3,good,2,good,8,good,93,moderate
India,Gopalganj,173,unhealthy,4,good,154,unhealthy,1,good,173,unhealthy
France,Grande Synthe,45,good,1,good,33,good,1,good,45,good
Chile,Graneros,134,unhealthy for sensitive groups,3,good,4,good,15,good,134,unhealthy for sensitive groups
Lithuania,Grigiskes,34,good,0,good,34,good,0,good,34,good
Germany,Gronau,36,good,0,good,33,good,1,good,36,good
Ecuador,Gualaceo,15,good,1,good,5,good,1,good,15,good
Guatemala,Gualan,68,moderate,2,good,6,good,3,good,68,moderate
Mexico,Guanajuato,41,good,1,good,17,good,3,good,41,good
Brazil,Guapo,93,moderate,3,good,0,good,8,good,93,moderate
India,Ingraj Bazar,83,moderate,2,good,83,moderate,1,good,78,moderate
New Zealand,Invercargill,14,good,0,good,12,good,1,good,14,good
United States of America,Ionia,44,good,1,good,34,good,4,good,44,good
Malaysia,Ipoh,69,moderate,1,good,38,good,0,good,69,moderate
Democratic Republic of the Congo,Isiro,39,good,2,good,7,good,0,good,39,good
Turkey,Iskilip,40,good,1,good,40,good,0,good,19,good
Russian Federation,Iskitim,36,good,1,good,36,good,0,good,36,good
France,Issy Les Moulineaux,63,moderate,1,good,18,good,7,good,63,moderate
Brazil,Itamarandiba,32,good,1,good,7,good,2,good,32,good
Japan,Itami,43,good,1,good,43,good,1,good,18,good
Brazil,Itaporanga,31,good,1,good,13,good,1,good,31,good
Brazil,Itaqui,12,good,1,good,12,good,0,good,8,good
Mexico,Ixtapaluca,321,hazardous,5,good,6,good,21,good,321,hazardous
India,Jangaon,101,unhealthy for sensitive groups,1,good,28,good,0,good,101,unhealthy for sensitive groups
China,Jiangkou,180,unhealthy,3,good,180,unhealthy,3,good,94,moderate
Brazil,Jussara,38,good,1,good,10,good,1,good,38,good
Germany,Kaarst,42,good,1,good,27,good,3,good,42,good
Philippines,Kabankalan,81,moderate,1,good,16,good,0,good,81,moderate
Nigeria,Kafanchan,104,unhealthy for sensitive groups,7,good,12,good,3,good,104,unhealthy for sensitive groups
United States of America,Kahului,27,good,0,good,27,good,0,good,26,good
China,Kaihua,23,good,0,good,23,good,0,good,13,good
India,Kailaras,227,very unhealthy,1,good,44,good,0,good,227,very unhealthy
India,Kamalapuram,95,moderate,0,good,27,good,0,good,95,moderate
Pakistan,Kamalia,192,unhealthy,2,good,137,unhealthy for sensitive groups,1,good,192,unhealthy
Pakistan,Kambar,173,unhealthy,1,good,61,moderate,2,good,173,unhealthy
Japan,Kanie,44,good,1,good,44,good,1,good,16,good
Kenya,Kapenguria,64,moderate,2,good,27,good,0,good,64,moderate
Germany,Karlsruhe,55,moderate,1,good,28,good,3,good,55,moderate
Germany,Karlstadt,49,good,1,good,32,good,2,good,49,good
India,Karwar,81,moderate,0,good,26,good,0,good,81,moderate
Japan,Kasaoka,45,good,1,good,45,good,1,good,33,good
Burkina Faso,Kaya,38,good,2,good,15,good,2,good,38,good
Malaysia,Kepala Batas,76,moderate,1,good,56,moderate,0,good,76,moderate
Ukraine,Kerch,40,good,1,good,40,good,0,good,17,good
Kenya,Kerugoya,62,moderate,2,good,20,good,1,good,62,moderate
Philippines,Olongapo,66,moderate,0,good,25,good,0,good,66,moderate
Switzerland,Onex,35,good,1,good,27,good,1,good,35,good
Netherlands,Opmeer,37,good,1,good,29,good,4,good,37,good
Hungary,Oroszlany,55,moderate,1,good,26,good,2,good,55,moderate
Italy,Ostuni,57,moderate,1,good,57,moderate,0,good,37,good
Indonesia,Padang,57,moderate,2,good,32,good,0,good,57,moderate
China,Paiho,126,unhealthy for sensitive groups,3,good,60,moderate,10,good,126,unhealthy for sensitive groups
Brazil,Papagaios,88,moderate,3,good,1,good,10,good,88,moderate
Brazil,Parambu,16,good,0,good,12,good,0,good,16,good
Italy,Partanna,66,moderate,1,good,45,good,0,good,66,moderate
France,Parthenay,28,good,1,good,28,good,2,good,28,good
Germany,Passau,28,good,1,good,28,good,1,good,28,good
Guatemala,Patzun,114,unhealthy for sensitive groups,4,good,4,good,13,good,114,unhealthy for sensitive groups
Bulgaria,Pavlikeni,48,good,1,good,39,good,1,good,48,good
Russian Federation,Pavlovskiy Posad,31,good,1,good,31,good,0,good,27,good
Uruguay,Paysandu,18,good,0,good,16,good,0,good,18,good
United States of America,Pearl,55,moderate,1,good,21,good,3,good,55,moderate
Brazil,Pedro Leopoldo,150,unhealthy,5,good,0,good,10,good,150,unhealthy
Belgium,Peer,37,good,1,good,32,good,3,good,37,good
Germany,Pegnitz,27,good,1,good,27,good,2,good,27,good
Mozambique,Pemba,32,good,0,good,22,good,0,good,32,good
Philippines,Penaranda,78,moderate,1,good,25,good,1,good,78,moderate
Italy,Penne,45,good,1,good,45,good,1,good,34,good
Panama,Penonome,51,moderate,1,good,18,good,2,good,51,moderate
Romania,Petrila,53,moderate,1,good,40,good,0,good,53,moderate
Thailand,Phetchabun,44,good,0,good,21,good,0,good,44,good
United States of America,Hobbs,82,moderate,1,good,33,good,0,good,82,moderate
Israel,Hod Hasharon,78,moderate,1,good,48,good,4,good,78,moderate
India,Honavar,65,moderate,0,good,25,good,0,good,65,moderate
Ukraine,Horodnya,61,moderate,1,good,35,good,1,good,61,moderate
Switzerland,Horw,95,moderate,1,good,25,good,2,good,95,moderate
Netherlands,Houten,35,good,0,good,34,good,1,good,35,good
Peru,Huacho,38,good,1,good,20,good,1,good,38,good
Thailand,Huai Mek,44,good,0,good,28,good,0,good,44,good
Guatemala,Huehuetenango,73,moderate,2,good,7,good,6,good,73,moderate
Germany,Hullhorst,37,good,0,good,34,good,1,good,37,good
Uganda,Iganga,111,unhealthy for sensitive groups,4,good,29,good,1,good,111,unhealthy for sensitive groups
Mexico,Iguala,51,moderate,1,good,11,good,5,good,51,moderate
United Republic of Tanzania,Ikwiriri,29,good,0,good,19,good,0,good,29,good
Peru,Ilave,25,good,0,good,14,good,1,good,25,good
United States of America,Gloucester City,53,moderate,1,good,29,good,8,good,53,moderate
Brazil,Goianira,87,moderate,3,good,1,good,8,good,87,moderate
United States of America,Golden Gate,42,good,1,good,21,good,5,good,42,good
United States of America,Golden Valley,50,good,1,good,40,good,4,good,50,good
United States of America,Goldenrod,55,moderate,1,good,16,good,15,good,55,moderate
Nigeria,Gombe,60,moderate,3,good,24,good,0,good,60,moderate
United States of America,Goodlettsville,79,moderate,1,good,32,good,4,good,79,moderate
Russian Federation,Gornozavodsk,28,good,1,good,28,good,0,good,27,good
United States of America,Grand Rapids,75,moderate,3,good,7,good,19,good,75,moderate
United States of America,Grandview,70,moderate,1,good,32,good,9,good,70,moderate
United States of America,Grass Valley,54,moderate,2,good,25,good,8,good,54,moderate
United Kingdom of Great Britain and Northern Ireland,Great Sankey,32,good,1,good,20,good,6,good,32,good
United States of America,Greece,45,good,1,good,34,good,5,good,45,good
India,Gudalur,91,moderate,1,good,33,good,3,good,91,moderate
France,Francheville,37,good,1,good,26,good,2,good,37,good
Germany,Freilassing,31,good,1,good,31,good,2,good,18,good
Spain,Fuenlabrada,50,good,1,good,13,good,7,good,50,good
Germany,Gaildorf,38,good,1,good,24,good,3,good,38,good
India,Gandhidham,166,unhealthy,0,good,32,good,0,good,166,unhealthy
India,Gangapur,120,unhealthy for sensitive groups,1,good,35,good,0,good,120,unhealthy for sensitive groups
Liberia,Ganta,47,good,1,good,11,good,0,good,47,good
Lithuania,Gargzdai,51,moderate,1,good,32,good,1,good,51,moderate
India,Garui,198,unhealthy,3,good,91,moderate,3,good,198,unhealthy
Brazil,Getulio Vargas,18,good,0,good,18,good,0,good,14,good
Romania,Gherla,73,moderate,1,good,42,good,0,good,73,moderate
United Kingdom of Great Britain and Northern Ireland,Giffnock,28,good,1,good,22,good,5,good,28,good
Kenya,Gilgil,46,good,1,good,17,good,0,good,46,good
Italy,Giovinazzo,48,good,1,good,48,good,1,good,45,good
United States of America,Coatesville,52,moderate,1,good,29,good,7,good,52,moderate
Italy,Cologno Al Serio,54,moderate,1,good,34,good,3,good,54,moderate
Italy,Concorezzo,59,moderate,1,good,37,good,3,good,59,moderate
Poland,Cracow,58,moderate,1,good,32,good,3,good,58,moderate
Mexico,Cuautepec,160,unhealthy,2,good,16,good,5,good,160,unhealthy
Romania,Cugir,70,moderate,1,good,39,good,0,good,70,moderate
Italy,Cuneo,65,moderate,2,good,15,good,4,good,65,moderate
Philippines,Dadiangas,54,moderate,0,good,17,good,0,good,54,moderate
United States of America,Downers Grove,73,moderate,2,good,13,good,19,good,73,moderate
Brazil,Duartina,35,good,1,good,11,good,2,good,35,good
India,Dubrajpur,197,unhealthy,2,good,107,unhealthy for sensitive groups,1,good,197,unhealthy
Luxembourg,Dudelange,26,good,1,good,26,good,2,good,23,good
India,Dudhani,81,moderate,0,good,28,good,0,good,81,moderate
United Kingdom of Great Britain and Northern Ireland,Dunfermline,36,good,1,good,19,good,9,good,36,good
India,Dungarpur,167,unhealthy,1,good,39,good,0,good,167,unhealthy
India,Durg,157,unhealthy,1,good,46,good,0,good,157,unhealthy
Russian Federation,Dyatkovo,40,good,0,good,34,good,0,good,40,good
United States of America,East Saint Louis,94,moderate,3,good,10,good,22,good,94,moderate
Germany,Eching,48,good,1,good,26,good,3,good,48,good
Kenya,Eldoret,74,moderate,3,good,31,good,0,good,74,moderate
United States of America,Elk City,54,moderate,1,good,30,good,1,good,54,moderate
France,Epinay Sous Senart,38,good,1,good,26,good,3,good,38,good
Nigeria,Eruwa,169,unhealthy,9,good,5,good,7,good,169,unhealthy
India,Etah,500,hazardous,1,good,50,good,3,good,437,hazardous
Belgium,Eupen,30,good,0,good,25,good,2,good,30,good
United States of America,Fairfax,54,moderate,1,good,31,good,5,good,54,moderate
Senegal,Fatick,135,unhealthy for sensitive groups,1,good,28,good,3,good,135,unhealthy for sensitive groups
Nigeria,Fiditi,98,moderate,5,good,18,good,3,good,98,moderate
United States of America,Flint,84,moderate,2,good,25,good,10,good,84,moderate
United States of America,Forest City,48,good,1,good,25,good,11,good,48,good
Germany,Forst,38,good,1,good,18,good,6,good,38,good
India,Gurh,204,very unhealthy,1,good,42,good,1,good,204,very unhealthy
Philippines,Hagonoy,52,moderate,1,good,27,good,0,good,52,moderate
Austria,Hallein,32,good,1,good,32,good,1,good,11,good
Japan,Hamura,52,moderate,1,good,52,moderate,2,good,36,good
India,Harij,182,unhealthy,0,good,32,good,0,good,182,unhealthy
United States of America,Haslett,77,moderate,2,good,23,good,8,good,77,moderate
United States of America,Hayesville,42,good,1,good,21,good,8,good,42,good
United Kingdom of Great Britain and Northern Ireland,Haywards Heath,32,good,1,good,17,good,10,good,32,good
Netherlands,Heerde,31,good,0,good,30,good,2,good,31,good
China,Helong,41,good,1,good,41,good,0,good,38,good
Costa Rica,Heredia,64,moderate,2,good,7,good,10,good,64,moderate
Spain,Hernani,41,good,0,good,40,good,0,good,41,good
United States of America,Hickory Hills,75,moderate,2,good,14,good,19,good,75,moderate
United Kingdom of Great Britain and Northern Ireland,High Wycombe,33,good,1,good,12,good,8,good,33,good
India,Hinganghat,151,unhealthy,1,good,35,good,0,good,151,unhealthy
Hungary,Hodmezovasarhely,71,moderate,1,good,32,good,1,good,71,moderate
United States of America,Holbrook,48,good,1,good,34,good,5,good,48,good
Netherlands,Hoogeveen,33,good,0,good,33,good,1,good,29,good
Peru,Huancavelica,10,good,0,good,2,good,1,good,10,good
Peru,Huancayo,25,good,0,good,4,good,2,good,25,good
Germany,Huckeswagen,36,good,1,good,23,good,3,good,36,good
United Kingdom of Great Britain and Northern Ireland,Huddersfield,31,good,1,good,23,good,4,good,31,good
United States of America,Hueytown,80,moderate,1,good,17,good,11,good,80,moderate
Oman,Ibra,153,unhealthy,1,good,97,moderate,0,good,153,unhealthy
Russian Federation,Igra,29,good,1,good,29,good,1,good,18,good
Nepal,Ilam,60,moderate,2,good,43,good,0,good,60,moderate
China,Daliang,166,unhealthy,6,good,20,good,22,good,166,unhealthy
United States of America,Danbury,57,moderate,1,good,27,good,10,good,57,moderate
Honduras,Danli,48,good,1,good,2,good,3,good,48,good
Republic of North Macedonia,Debar,62,moderate,1,good,42,good,0,good,62,moderate
France,Deuil La Barre,37,good,1,good,27,good,3,good,37,good
India,Devgarh,176,unhealthy,0,good,30,good,0,good,176,unhealthy
India,Dharmavaram,81,moderate,0,good,27,good,0,good,81,moderate
Niger,Diffa,70,moderate,2,good,32,good,1,good,70,moderate
Philippines,Dologon,65,moderate,1,good,20,good,0,good,65,moderate
Belgium,Chatelet,41,good,1,good,22,good,5,good,41,good
Mexico,Chemax,65,moderate,1,good,23,good,0,good,65,moderate
Bangladesh,Chhatak,84,moderate,3,good,41,good,2,good,84,moderate
China,Chichi,189,unhealthy,3,good,189,unhealthy,7,good,151,unhealthy
Chile,Chillan,41,good,1,good,15,good,3,good,41,good
Ukraine,Chortkiv,79,moderate,1,good,33,good,1,good,79,moderate
Mexico,Cienaga De Flores,68,moderate,1,good,16,good,4,good,68,moderate
Indonesia,Citeureup,172,unhealthy,4,good,172,unhealthy,2,good,148,unhealthy for sensitive groups
Mexico,Ciudad Valles,51,moderate,1,good,21,good,2,good,51,moderate
Vanuatu,Vila,30,good,0,good,25,good,0,good,30,good
Ecuador,Vinces,67,moderate,2,good,11,good,6,good,67,moderate
United States of America,Vineland,70,moderate,1,good,42,good,4,good,70,moderate
Viet Nam,Vinh Yen,82,moderate,2,good,56,moderate,2,good,82,moderate
India,Visakhapatnam,155,unhealthy,2,good,78,moderate,2,good,155,unhealthy
Serbia,Vrsac,38,good,1,good,37,good,1,good,38,good
India,Wadhwan,158,unhealthy,1,good,38,good,0,good,158,unhealthy
India,Washim,150,unhealthy,1,good,40,good,0,good,150,unhealthy
Democratic Republic of the Congo,Watsa,48,good,1,good,10,good,0,good,48,good
Belgium,Wattrelos,38,good,1,good,23,good,3,good,38,good
Germany,Werther,37,good,1,good,37,good,1,good,24,good
United States of America,West Des Moines,37,good,1,good,37,good,4,good,35,good
United States of America,West Norriton,59,moderate,1,good,45,good,4,good,59,moderate
United Kingdom of Great Britain and Northern Ireland,Westhoughton,61,moderate,0,good,32,good,1,good,61,moderate
United Kingdom of Great Britain and Northern Ireland,Whitburn,57,moderate,0,good,30,good,0,good,57,moderate
United States of America,Williamstown,73,moderate,1,good,43,good,4,good,73,moderate
Poland,Wschowa,36,good,1,good,27,good,1,good,36,good
China,Wuning,84,moderate,2,good,80,moderate,3,good,84,moderate
China,Xinpu,171,unhealthy,4,good,171,unhealthy,3,good,141,unhealthy for sensitive groups
China,Xinye,195,unhealthy,3,good,195,unhealthy,2,good,139,unhealthy for sensitive groups
Turkey,Yalvac,43,good,1,good,43,good,0,good,37,good
India,Yelahanka,57,moderate,1,good,27,good,0,good,57,moderate
Russian Federation,Yelets,61,moderate,0,good,33,good,0,good,61,moderate
Turkey,Yozgat,41,good,1,good,41,good,0,good,37,good
China,Yuanlin,149,unhealthy for sensitive groups,3,good,128,unhealthy for sensitive groups,15,good,149,unhealthy for sensitive groups
United States of America,Yucca Valley,44,good,1,good,43,good,2,good,44,good
China,Yueyang,140,unhealthy for sensitive groups,3,good,140,unhealthy for sensitive groups,3,good,90,moderate
Russian Federation,Yugorsk,31,good,1,good,30,good,0,good,31,good
Russian Federation,Yuryuzan,33,good,1,good,32,good,0,good,33,good
Ukraine,Zbarazh,72,moderate,1,good,35,good,1,good,72,moderate
Russian Federation,Zelenogorsk,39,good,1,good,39,good,3,good,28,good
Poland,Zgorzelec,32,good,0,good,28,good,1,good,32,good
United States of America,Zionsville,53,moderate,1,good,24,good,12,good,53,moderate
China,Ziyang,184,unhealthy,9,good,39,good,24,good,184,unhealthy
Ukraine,Zuhres,45,good,1,good,45,good,1,good,37,good
India,Lakshmeshwar,76,moderate,0,good,23,good,0,good,76,moderate
Mauritius,Lalmatie,31,good,0,good,28,good,0,good,31,good
France,Lambersart,38,good,1,good,23,good,3,good,38,good
Viet Nam,Lang Son,58,moderate,2,good,47,good,0,good,58,moderate
India,Lanja,95,moderate,0,good,24,good,0,good,95,moderate
United States of America,Lebanon,41,good,1,good,41,good,0,good,30,good
Spain,Lebrija,38,good,1,good,30,good,4,good,38,good
Italy,Lentate Sul Seveso,34,good,1,good,34,good,2,good,18,good
Germany,Leverkusen,32,good,1,good,32,good,2,good,30,good
Russian Federation,Likhoslavl,31,good,0,good,31,good,0,good,28,good
United States of America,Lincoln,35,good,1,good,35,good,4,good,32,good
United States of America,Lincolnia,61,moderate,2,good,40,good,6,good,61,moderate
United Republic of Tanzania,Lindi,35,good,0,good,22,good,0,good,35,good
United States of America,Livingston,57,moderate,1,good,44,good,5,good,57,moderate
Congo,Loandjili,99,moderate,1,good,23,good,1,good,99,moderate
Venezuela (Bolivarian Republic of),Los Dos Caminos,46,good,1,good,16,good,5,good,46,good
United States of America,Los Lunas,72,moderate,1,good,28,good,3,good,72,moderate
Mexico,Los Mochis,74,moderate,1,good,17,good,2,good,74,moderate
Russian Federation,Lukhovitsy,32,good,0,good,32,good,0,good,25,good
Philippines,Luna,54,moderate,1,good,23,good,0,good,54,moderate
France,Lunel,41,good,1,good,37,good,0,good,41,good
Romania,Lupeni,55,moderate,1,good,39,good,0,good,55,moderate
United States of America,Lyons,82,moderate,2,good,9,good,30,good,82,moderate
Netherlands,Maastricht,36,good,1,good,32,good,3,good,36,good
Philippines,Mabitac,57,moderate,1,good,26,good,1,good,57,moderate
Mexico,Magdalena,58,moderate,2,good,1,good,5,good,58,moderate
India,Mahishadal,167,unhealthy,2,good,99,moderate,2,good,167,unhealthy
Russian Federation,Malaya Vishera,36,good,0,good,36,good,0,good,12,good
Mexico,Maltrata,68,moderate,2,good,9,good,9,good,68,moderate
United Republic of Tanzania,Malya,33,good,0,good,16,good,0,good,33,good
Philippines,Mamatid,54,moderate,1,good,24,good,1,good,54,moderate
Pakistan,Mangla,244,very unhealthy,2,good,120,unhealthy for sensitive groups,1,good,244,very unhealthy
India,Margherita,53,moderate,2,good,24,good,1,good,53,moderate
Georgia,Khashuri,47,good,1,good,33,good,0,good,47,good
United Kingdom of Great Britain and Northern Ireland,Kidsgrove,56,moderate,0,good,32,good,1,good,56,moderate
Greece,Kifisia,65,moderate,1,good,43,good,4,good,65,moderate
United States of America,Kings Point,69,moderate,1,good,11,good,10,good,69,moderate
Finland,Kirkkonummi,185,unhealthy,7,good,24,good,13,good,185,unhealthy
Japan,Kitakyushu,49,good,1,good,49,good,1,good,37,good
Belgium,Knokke Heist,39,good,1,good,26,good,3,good,39,good
India,Koch Bihar,158,unhealthy,2,good,68,moderate,1,good,158,unhealthy
Tajikistan,Kofarnihon,77,moderate,1,good,39,good,0,good,77,moderate
India,Kolar,67,moderate,0,good,28,good,0,good,67,moderate
Senegal,Kolda,146,unhealthy for sensitive groups,2,good,21,good,0,good,146,unhealthy for sensitive groups
Mali,Kolokani,81,moderate,1,good,21,good,1,good,81,moderate
Poland,Koszalin,32,good,0,good,32,good,0,good,27,good
Japan,Kanaya,47,good,1,good,47,good,1,good,44,good
Kyrgyzstan,Kant,120,unhealthy for sensitive groups,1,good,34,good,1,good,120,unhealthy for sensitive groups
Japan,Karatsu,53,moderate,2,good,42,good,5,good,53,moderate
Greece,Karditsa,52,moderate,1,good,45,good,0,good,52,moderate
Russian Federation,Karpinsk,24,good,1,good,24,good,0,good,11,good
Democratic Republic of the Congo,Kasangulu,91,moderate,2,good,29,good,1,good,91,moderate
Japan,Kashihara,40,good,1,good,40,good,2,good,35,good
India,Kasimbazar,181,unhealthy,2,good,119,unhealthy for sensitive groups,2,good,181,unhealthy
Japan,Kasuga,48,good,2,good,48,good,3,good,42,good
Pakistan,Jauharabad,224,very unhealthy,2,good,141,unhealthy for sensitive groups,1,good,224,very unhealthy
Malaysia,Jenjarom,55,moderate,1,good,31,good,1,good,55,moderate
Pakistan,Jhol,172,unhealthy,1,good,43,good,0,good,172,unhealthy
China,Jiehu,156,unhealthy,3,good,156,unhealthy,2,good,118,unhealthy for sensitive groups
Nigeria,Jimeta,59,moderate,3,good,15,good,0,good,59,moderate
India,Jobat,154,unhealthy,1,good,35,good,0,good,154,unhealthy
United States of America,Johnson City,58,moderate,2,good,24,good,7,good,58,moderate
Mexico,Jojutla,99,moderate,3,good,4,good,14,good,99,moderate
Switzerland,Jona,33,good,1,good,25,good,2,good,33,good
Lebanon,Juniyah,82,moderate,2,good,48,good,3,good,82,moderate
Nigeria,Kaduna,84,moderate,2,good,31,good,0,good,84,moderate
Cameroon,Kaele,55,moderate,2,good,12,good,0,good,55,moderate
